Sample Count	Delta Time	Time Stamp	Time Milliseconds	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Core 0 CycleCount	Core 0 Event 0x16	Core 0 Event 0x17	Core 0 Event 0x04	Core 0 Event 0x03	Core 1 CycleCount	Core 1 Event 0x16	Core 1 Event 0x17	Core 1 Event 0x04	Core 1 Event 0x03	Core 2 CycleCount	Core 2 Event 0x16	Core 2 Event 0x17	Core 2 Event 0x04	Core 2 Event 0x03	Core 3 CycleCount	Core 3 Event 0x16	Core 3 Event 0x17	Core 3 Event 0x04	Core 3 Event 0x03	Core 4 CycleCount	Core 4 Event 0x62	Core 4 Event 0x16	Core 4 Event 0x14	Core 4 Event 0x04	Core 4 Event 0x08	Core 4 Event 0x11	Core 5 CycleCount	Core 5 Event 0x62	Core 5 Event 0x16	Core 5 Event 0x14	Core 5 Event 0x04	Core 5 Event 0x08	Core 5 Event 0x11	Core 6 CycleCount	Core 6 Event 0x62	Core 6 Event 0x16	Core 6 Event 0x14	Core 6 Event 0x04	Core 6 Event 0x08	Core 6 Event 0x11	Core 7 CycleCount	Core 7 Event 0x62	Core 7 Event 0x16	Core 7 Event 0x14	Core 7 Event 0x04	Core 7 Event 0x08	Core 7 Event 0x11	Average Utilisation	Core 0 Raw Utilisation	Core 1 Raw Utilisation	Core 2 Raw Utilisation	Core 3 Raw Utilisation	Core 4 Raw Utilisation	Core 5 Raw Utilisation	Core 6 Raw Utilisation	Core 7 Raw Utilisation	Temperature 0	Temperature 1	Temperature 2	Temperature 3	Temperature 4
10	0.203238	2018-11-19 23:47:57	1542633477457	0.91125	1.18	0.040084	0.63838	1.2125	0.052116	0.99875	0.09481	185397943	5308046	314188	35705488	615982	111952072	2682704	249568	21181624	438855	52996744	1360771	141529	8846614	191996	102124658	2596204	251445	18858235	423523	54593611	78340	783831	9956188	8276470	15733741	54594936	32642656	58256	438317	5543974	4612004	8757836	32643349	31879252	52124	428721	5406555	4433906	8354729	31879957	60153266	125268	806792	11243737	8866694	16022472	60153970	cpu  2836007 102 457087 8117006 6049 47 4241 0 0 0	cpu0 45730 0 86591 1266151 214 30 4235 0 0 0 0 0 0	cpu1 62700 0 118946 1236047 1295 6 0 0 0 0 0 0 0 0	cpu2 62145 0 117070 1239728 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91210 1269442 1564 2 0 0 0 00 0 0 0 0	cpu4 662151 32 8988 768013 410 0 3 0 0 000 0 0 0 0	cpu5 643744 3 7271 788319 488 0 0 0 0 0000 0 0 0 0	cpu6 662283 10 9988 766651 374 0 0 0 0 000 0 0 0 0	cpu7 638115 57 17021 782653 379 0 1 0 0 00 0 0 0 0	sensor0 : 44000	sensor1 : 44000	sensor2 : 47000	sensor3 : 45000	sensor4 : 44000
11	0.203284	2018-11-19 23:47:57	1542633477660	0.91125	1.18	0.040084	0.63838	1.2125	0.052116	0.99875	0.09481	221929139	6187308	369335	43415410	735582	114772999	2744738	257479	21557096	447202	63807084	1582487	172329	10884538	232429	109698004	2805594	273565	20224103	454256	63490141	88583	908595	11570359	9623553	18297961	63491412	33952921	58976	448221	5651600	4714004	8970527	33953619	40976541	62372	554893	7043856	5807742	11005857	40977245	65311770	134088	869844	12145311	9581878	17331017	65312483	cpu  2836014 102 457107 8117140 6049 47 4241 0 0 0	cpu0 45735 0 86605 1266153 214 30 4235 0 0 0 0 0 0	cpu1 62700 0 118947 1236066 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117073 1239743 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91212 1269459 1564 2 0 0 0 00 0 0 0 0	cpu4 662152 32 8988 768033 410 0 3 0 0 000 0 0 0 0	cpu5 643744 3 7271 788340 488 0 0 0 0 0000 0 0 0 0	cpu6 662284 10 9988 766671 374 0 0 0 0 000 0 0 0 0	cpu7 638115 57 17021 782673 379 0 1 0 0 00 0 0 0 0	sensor0 : 44000	sensor1 : 44000	sensor2 : 46000	sensor3 : 45000	sensor4 : 44000
12	0.203897	2018-11-19 23:47:57	1542633477864	0.91125	1.1925	0.040995	0.659176	1.2125	0.049692	0.99875	0.09481	231021543	6374034	380198	44483720	754228	119614870	2794193	259415	21800307	451217	71520811	1724749	181232	11673457	246531	114029750	2837839	274982	20374203	457102	267235116	2214179	2248008	57096041	44362058	188020214	267239358	245696623	1861845	3201762	35123192	72665318	145080571	245697639	241700471	1122846	5523090	35750688	62333576	165121015	241701186	345176670	3875756	4327336	51758419	68411876	133525802	345177770	cpu  2836046 102 457129 8117248 6049 47 4241 0 0 0	cpu0 45736 0 86606 1266171 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118947 1236086 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239762 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91212 1269479 1564 2 0 0 0 00 0 0 0 0	cpu4 662159 32 8992 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643753 3 7273 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662293 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638120 57 17031 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 50000	sensor1 : 48000	sensor2 : 54000	sensor3 : 52000	sensor4 : 45000
13	0.204209	2018-11-19 23:47:58	1542633478068	0.91125	1.2	0.030063	2.4264	1.2125	0.047268	0.99875	0.093812	233795662	6417091	381465	44828951	759115	121598962	2819791	259865	21982699	454458	73099506	1740070	181426	11778311	248451	115496837	2849306	275266	20455288	458500	634772083	5835455	4224055	143476391	104277305	523952128	634774862	613221219	5123260	8017296	82881380	205012507	401068702	613221940	609229145	3779835	18102922	75348629	157444449	419168130	609229859	712713024	10084708	7655862	82329138	156627834	312564710	712713753	cpu  2836112 102 457146 8117328 6049 47 4241 0 0 0	cpu0 45736 0 86606 1266190 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118947 1236106 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239782 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91212 1269499 1564 2 0 0 0 00 0 0 0 0	cpu4 662175 32 8997 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643774 3 7273 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662314 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638128 57 17043 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 53000	sensor1 : 51000	sensor2 : 58000	sensor3 : 57000	sensor4 : 46000
14	0.204018	2018-11-19 23:47:58	1542633478272	0.91125	1.20875	0.016398	4.496176	1.2175	0.153342	0.99875	0.09481	236124478	6461044	382091	45186656	764058	122984254	2842030	260237	22140160	457189	74115492	1752546	181658	11867187	249896	116586773	2863300	275476	20557447	460128	1001959407	9064793	6208786	231475951	163218811	870029547	1001962004	980409152	8125594	12950005	131343255	339420157	661065354	980410095	976538208	5899840	29715688	118962474	262172435	698913629	976539174	1080004362	15732084	12108160	129767291	290788190	575194418	1080005072	cpu  2836184 102 457157 8117408 6049 47 4241 0 0 0	cpu0 45736 0 86607 1266210 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118947 1236126 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239802 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91213 1269519 1564 2 0 0 0 00 0 0 0 0	cpu4 662190 32 9003 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643794 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662334 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638145 57 17047 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 55000	sensor1 : 54000	sensor2 : 61000	sensor3 : 60000	sensor4 : 47000
15	0.204316	2018-11-19 23:47:58	1542633478476	0.91125	1.20875	0.016398	4.496176	1.2175	0.153342	0.99875	0.09481	237045410	6476246	382754	45285251	765792	124100257	2864171	261775	22272021	460252	74795891	1760564	181817	11928194	250898	117304354	2872400	275646	20622206	461202	1369662902	12118233	8194899	320054097	221397534	1219672946	1369665170	1348121121	11047465	18011719	180709399	476283641	925796139	1348122171	1344122922	8433665	42120831	157617600	354810562	946173116	1344123624	1447596455	20814003	16892050	181845722	434695548	853337906	1447597248	cpu  2836258 102 457162 8117489 6049 47 4241 0 0 0	cpu0 45736 0 86607 1266230 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118947 1236146 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239822 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91213 1269540 1564 2 0 0 0 00 0 0 0 0	cpu4 662204 32 9008 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643814 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662354 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638165 57 17047 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 57000	sensor1 : 55000	sensor2 : 62000	sensor3 : 61000	sensor4 : 47000
16	0.20397	2018-11-19 23:47:58	1542633478680	0.91125	1.21	0.016398	4.89687	1.2175	0.172814	0.99875	0.095808	239044906	6517988	383244	45619543	770221	125348066	2887969	262107	22437912	463189	75643774	1773490	182077	12021052	252420	117984048	2880742	275810	20680731	462192	1736932326	15159538	10154956	409196475	279109057	1573001034	1736934562	1715371972	13911221	23075244	230357951	614028900	1192259231	1715372684	1711374602	10322502	54027617	202309856	461966510	1232278917	1711375302	1814839896	25949469	21697852	234115916	579079365	1132383818	1814840594	cpu  2836333 102 457171 8117570 6049 47 4241 0 0 0	cpu0 45736 0 86608 1266250 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118948 1236166 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239842 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91213 1269560 1564 2 0 0 0 00 0 0 0 0	cpu4 662217 32 9016 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643834 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662374 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638186 57 17047 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 57000	sensor1 : 56000	sensor2 : 63000	sensor3 : 63000	sensor4 : 48000
17	0.204177	2018-11-19 23:47:58	1542633478884	0.91125	1.21	0.017309	4.90413	1.2175	0.184984	0.99875	0.097804	240892037	6556252	383431	45952290	774050	126635153	2914739	262367	22637015	466451	76432012	1787172	182290	12122621	253919	118794733	2895521	276105	20783939	463952	2104065825	19820143	14251019	499030321	393236628	1973283991	2104068626	2082525233	16925138	28168866	279620341	750671322	1456583077	2082526559	2078531997	12665406	65143859	242947541	559322519	1492146378	2078533251	2182010758	30888850	26501592	286311036	723253899	1411055696	2182011456	cpu  2836408 102 457178 8117651 6049 47 4241 0 0 0	cpu0 45736 0 86608 1266270 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118948 1236186 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239863 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91213 1269580 1564 2 0 0 0 00 0 0 0 0	cpu4 662231 32 9022 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643855 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662395 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638206 57 17047 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 60000	sensor1 : 57000	sensor2 : 65000	sensor3 : 64000	sensor4 : 49000
18	0.204398	2018-11-19 23:47:59	1542633479089	0.91125	1.2125	0.016398	5.194632	1.2175	0.181333	0.99875	0.098802	244156898	6640679	387031	46581967	784299	127358681	2933713	262681	22774609	468853	77146919	1806612	182706	12254623	256428	119395400	2911155	276498	20895049	465776	2471822959	28922363	24066447	591213449	661253119	2496734067	2471825531	2450279659	20138262	33289573	328053615	885010215	1716447885	2450280868	2446280423	15160104	76710360	281142908	649809254	1732826268	2446281164	2549757061	35424122	31355874	338799900	868413803	1691731502	2549757801	cpu  2836489 102 457179 8117730 6049 47 4241 0 0 0	cpu0 45736 0 86608 1266289 214 30 4235 0 0 0 0 0 0	cpu1 62701 0 118948 1236206 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239883 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91213 1269600 1564 2 0 0 0 00 0 0 0 0	cpu4 662252 32 9022 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643875 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662415 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638226 57 17048 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 62000	sensor1 : 58000	sensor2 : 65000	sensor3 : 65000	sensor4 : 50000
19	0.204605	2018-11-19 23:47:59	1542633479293	0.91	1.21375	0.01911	5.453648	1.2175	0.268957	0.99875	0.0998	280993127	7675792	419679	54229348	899227	129280567	2980875	265624	23132986	473968	78265641	1836822	185088	12449361	260479	120381061	2935853	277588	21076151	468485	2840126497	37936146	33768658	682564323	926752522	3015220521	2840129419	2818597008	23359724	38401674	376560136	1019542067	1976681914	2818598421	2814602565	17547944	87226245	321175097	744920875	1986075162	2814603591	2918082687	40157293	36260835	393220925	1018944357	1982824960	2918083417	cpu  2836574 102 457194 8117791 6049 47 4241 0 0 0	cpu0 45738 0 86623 1266291 214 30 4236 0 0 0 0 0 0	cpu1 62701 0 118948 1236226 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1239903 1324 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91213 1269620 1564 2 0 0 0 00 0 0 0 0	cpu4 662272 32 9022 768042 410 0 3 0 0 000 0 0 0 0	cpu5 643896 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 662436 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638246 57 17048 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 62000	sensor1 : 59000	sensor2 : 66000	sensor3 : 66000	sensor4 : 50000
