Sample Count	Delta Time	Time Stamp	Time Milliseconds	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Core 0 CycleCount	Core 0 Event 0x16	Core 0 Event 0x17	Core 0 Event 0x04	Core 0 Event 0x03	Core 1 CycleCount	Core 1 Event 0x16	Core 1 Event 0x17	Core 1 Event 0x04	Core 1 Event 0x03	Core 2 CycleCount	Core 2 Event 0x16	Core 2 Event 0x17	Core 2 Event 0x04	Core 2 Event 0x03	Core 3 CycleCount	Core 3 Event 0x16	Core 3 Event 0x17	Core 3 Event 0x04	Core 3 Event 0x03	Core 4 CycleCount	Core 4 Event 0x62	Core 4 Event 0x16	Core 4 Event 0x14	Core 4 Event 0x04	Core 4 Event 0x08	Core 4 Event 0x11	Core 5 CycleCount	Core 5 Event 0x62	Core 5 Event 0x16	Core 5 Event 0x14	Core 5 Event 0x04	Core 5 Event 0x08	Core 5 Event 0x11	Core 6 CycleCount	Core 6 Event 0x62	Core 6 Event 0x16	Core 6 Event 0x14	Core 6 Event 0x04	Core 6 Event 0x08	Core 6 Event 0x11	Core 7 CycleCount	Core 7 Event 0x62	Core 7 Event 0x16	Core 7 Event 0x14	Core 7 Event 0x04	Core 7 Event 0x08	Core 7 Event 0x11	Average Utilisation	Core 0 Raw Utilisation	Core 1 Raw Utilisation	Core 2 Raw Utilisation	Core 3 Raw Utilisation	Core 4 Raw Utilisation	Core 5 Raw Utilisation	Core 6 Raw Utilisation	Core 7 Raw Utilisation	Temperature 0	Temperature 1	Temperature 2	Temperature 3	Temperature 4
53	0.204356	2018-11-19 23:48:6	1542633486245	0.91	1.21375	0.02184	5.527641	1.21625	0.268736	0.99875	0.110778	812548450	22132688	816705	165576723	2523240	168868397	4000326	315715	30453135	597146	109573443	2660002	231055	18136796	365489	140204906	3441070	302240	24695946	527351	2467567537	346688501	366714784	3809849410	1430761713	3596492239	2467569721	2446021944	133072910	212541097	2028431362	1305492606	2247760700	2446022834	2442029831	101239127	463419362	1648540926	3892033778	1770051002	2442030567	2545503280	195861368	201674589	2194209133	1706207441	3026789437	2545503995	cpu  2839404 102 457401 8120275 6050 47 4243 0 0 0	cpu0 45798 0 86813 1266726 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118952 1236906 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240585 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270308 1564 2 0 0 0 00 0 0 0 0	cpu4 662967 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644590 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663131 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638932 57 17057 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
54	0.204305	2018-11-19 23:48:6	1542633486449	0.91	1.21375	0.03367	5.545836	1.2175	0.268957	0.99875	0.110778	853418011	23267593	843764	174118566	2650613	171330505	4065862	322773	30901929	606680	111572304	2709973	234299	18498852	371148	143843767	3542701	305486	25393329	539167	2835417421	355737389	376483731	3901487432	1697198411	4116849291	2835419881	2813871139	136292973	217644073	2076750607	1439392822	2506747127	2813871855	2809874454	103969504	475004681	1685310845	3978871054	2000841029	2809875216	2913352687	200394960	206515498	2246751248	1851493996	3307704364	2913353883	cpu  2839490 102 457418 8120333 6050 47 4243 0 0 0	cpu0 45803 0 86829 1266726 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118952 1236925 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240604 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270327 1564 2 0 0 0 00 0 0 0 0	cpu4 662987 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644611 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663151 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638952 57 17058 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
55	0.204544	2018-11-19 23:48:6	1542633486654	0.91	1.21375	0.03367	5.545836	1.2175	0.268957	0.99875	0.110778	887228250	24122236	871755	181478142	2754651	173339172	4113677	326846	31271704	611959	111683074	2712306	234352	18514422	371458	144359366	3555589	306554	25477572	540814	3203556983	364854784	386326127	3993897902	1965925768	346726933	3203559918	3182016600	139507425	222761905	2125305125	1573980651	2767070921	3182017313	3178011885	106176668	485579064	1726309064	4076265378	2260179337	3178013005	3281487769	204938076	211362984	2299337299	1996853835	3588744542	3281488542	cpu  2839579 102 457428 8120397 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266729 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118952 1236945 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240625 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270347 1564 2 0 0 0 00 0 0 0 0	cpu4 663008 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644631 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663172 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638972 57 17058 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
56	0.204361	2018-11-19 23:48:6	1542633486858	0.91	1.21375	0.03458	5.550688	1.2175	0.275042	0.99875	0.110778	889330587	24176567	873061	181891471	2760628	174139044	4134217	327472	31421894	614493	111891872	2717530	234435	18551789	372062	144872583	3569142	307147	25572661	542622	3571623327	373961535	396148001	4086145497	2234203713	870707714	3571625803	3550077877	142745952	227892013	2174015156	1709037004	3028307831	3550078589	3546075209	108793534	496595647	1764703454	4167240832	2502188125	3546075916	3649545053	209481970	216210978	2351846283	2142132345	3869671487	3649546081	cpu  2839661 102 457428 8120478 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266749 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118953 1236965 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240645 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270367 1564 2 0 0 0 00 0 0 0 0	cpu4 663028 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644652 3 7274 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663192 10 9990 766681 374 0 0 0 0 000 0 0 0 0	cpu7 638993 57 17058 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 64000	sensor2 : 73000	sensor3 : 72000	sensor4 : 55000
57	0.20432	2018-11-19 23:48:7	1542633487062	0.91	1.21375	0.03094	5.538558	1.2175	0.268957	0.99875	0.110778	891230539	24224593	873497	182281481	2765571	175558798	4172075	328259	31689840	619211	112260412	2727543	234615	18620352	373371	145130604	3575929	307266	25620634	543515	3939075524	383087452	406000640	4178639788	2503238780	1396172819	3939078118	3917527421	145959394	233007505	2222409297	1843300840	3288027258	3917528655	3913625503	111122841	507803977	1804185483	4260961741	2751640557	3913626769	4017097693	214005440	221044377	2404266613	2287166143	4150122693	4017098404	cpu  2839742 102 457430 8120558 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266769 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118953 1236985 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240665 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270388 1564 2 0 0 0 00 0 0 0 0	cpu4 663049 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644672 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663212 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639013 57 17058 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
58	0.204282	2018-11-19 23:48:7	1542633487267	0.91	1.21375	0.02093	5.549475	1.2175	0.268957	0.99875	0.110778	893076154	24271539	874192	182655183	2770496	176761167	4203784	328662	31917742	623000	112357221	2729870	234630	18636209	373669	145556191	3587083	307510	25701280	544778	11933589	392170515	415795879	4270669354	2770970461	1919105765	11936037	4285353209	149197426	238154278	2271338955	1979056157	3550643163	4285353950	4281353702	113612136	518501402	1843588108	59513490	3000553815	4281354789	89857271	218544844	225890070	2456747568	2432392537	135981622	89858022	cpu  2839822 102 457430 8120638 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266789 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118954 1237005 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240686 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270408 1564 2 0 0 0 00 0 0 0 0	cpu4 663069 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644692 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663232 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639033 57 17058 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 72000	sensor4 : 55000
59	0.204498	2018-11-19 23:48:7	1542633487471	0.91	1.21375	0.02093	5.568883	1.21625	0.269952	0.99875	0.111776	894844584	24315195	874646	183019844	2774996	177993855	4237324	329773	32147420	627514	112557646	2734783	234646	18673195	374238	146038728	3599784	307783	25793008	546171	379801453	401284705	425625086	68003681	3039501798	2443602607	379804120	358260844	152408972	243259026	2319684518	2113061402	3809839327	358262370	354266169	116073744	530025400	1882052898	150649852	3242988668	354266882	457741773	223085616	230742767	2509292326	2577754306	417064495	457742719	cpu  2839903 102 457431 8120719 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266809 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118954 1237024 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240706 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270428 1564 2 0 0 0 00 0 0 0 0	cpu4 663089 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644712 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663253 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639053 57 17058 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
60	0.204381	2018-11-19 23:48:7	1542633487675	0.91	1.21375	0.02093	5.568883	1.21625	0.269952	0.99875	0.111776	895881095	24344413	875917	183212089	2778493	178634442	4254841	330249	32263365	629737	113104459	2749923	236480	18771578	376541	146474836	3611079	308504	25869053	547545	747841380	410398352	435458140	160362788	3308169291	2968343801	747844103	726299079	155649390	248392670	2368579511	2248615773	4072036336	726300083	722301308	118481595	540592935	1922014723	245665764	3496011170	722302644	825776051	227622743	235587822	2561776015	2722954896	697830239	825776780	cpu  2839985 102 457431 8120799 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266829 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118954 1237045 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240726 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270448 1564 2 0 0 0 00 0 0 0 0	cpu4 663110 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644733 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663273 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639073 57 17059 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
61	0.20442	2018-11-19 23:48:7	1542633487880	0.91125	1.21375	0.020953	5.538558	1.2175	0.272608	0.99875	0.111776	897807683	24392266	876866	183603610	2783612	179813141	4285566	330648	32487837	633344	113200420	2752355	236509	18787119	376884	146903150	3622281	308836	25949378	548755	1115671113	419498460	445271008	252519889	3576190874	3491816576	1115673760	1094127336	158872006	253513299	2416984862	2382826019	36675348	1094128505	1090134646	121036171	552246105	1959887993	335262931	3734248632	1090135363	1193609952	232165076	240439258	2614279798	2868173404	978633594	1193610649	cpu  2840066 102 457432 8120879 6050 47 4243 0 0 0	cpu0 45810 0 86839 1266848 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118954 1237065 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240746 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270469 1564 2 0 0 0 00 0 0 0 0	cpu4 663130 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644753 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663294 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639093 57 17059 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
62	0.20424	2018-11-19 23:48:8	1542633488084	0.91	1.21375	0.02093	5.559179	1.2175	0.268957	0.99875	0.111776	899916343	24446971	877460	184028390	2789480	180855888	4311988	331028	32689321	636486	113645286	2764077	236716	18872437	378466	147383748	3635122	309219	26038890	550305	1483612263	428611572	455123165	344886516	3844883504	4016613916	1483615155	1462068672	162101186	258637520	2465719752	2517998765	298155013	1462069736	1458070840	123378996	562776430	2000246354	431221047	3989792892	1458071856	1561549859	236692076	245276870	2666660896	3013105506	1258892646	1561550577	cpu  2840148 102 457434 8120959 6050 47 4243 0 0 0	cpu0 45810 0 86840 1266868 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118954 1237085 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240767 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270489 1564 2 0 0 0 00 0 0 0 0	cpu4 663151 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644774 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663314 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639113 57 17060 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 72000	sensor4 : 55000
63	0.204478	2018-11-19 23:48:8	1542633488289	0.91	1.215	0.02093	5.568345	1.2175	0.26774	0.99875	0.111776	934316929	25414043	910244	191092635	2895612	183162278	4371816	335593	33104846	644271	115278275	2804326	238896	19173697	382845	148296730	3659203	310288	26204115	553594	1851584628	437660713	464902263	436604428	4111534685	242430729	1851587190	1830041705	165328366	263756749	2514193892	2652462356	558258146	1830042742	1826036630	125997450	574429445	2037662610	519611904	4224739924	1826037683	1929514300	241208453	250105142	2718941582	3157613398	1538298975	1929515554	cpu  2840234 102 457448 8121022 6050 47 4243 0 0 0	cpu0 45814 0 86854 1266871 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118954 1237104 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117075 1240786 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91215 1270509 1564 2 0 0 0 00 0 0 0 0	cpu4 663171 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644794 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663335 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639134 57 17060 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
64	0.204612	2018-11-19 23:48:8	1542633488493	0.91	1.215	0.02093	5.568345	1.2175	0.26774	0.99875	0.111776	975183598	26560661	946396	199466826	3015362	184391168	4399783	338900	33276332	647758	120632828	2903458	251383	20331352	398858	157872951	3831113	326338	28307096	577351	2219810033	446705136	474650072	528236184	82957560	762689933	2219813000	2198272625	168535042	268863846	2562551719	2786515324	817548619	2198273328	2194274196	128286001	584920620	2078200009	615928636	186255454	2194274918	2297754082	245811435	254973017	2772009600	3304363293	1822049577	2297754806	cpu  2840321 102 457470 8121076 6050 47 4243 0 0 0	cpu0 45819 0 86869 1266871 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118955 1237124 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240804 1325 9 0 0 0 0 0 0 0 0	cpu3 59137 0 91219 1270525 1564 2 0 0 0 00 0 0 0 0	cpu4 663192 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644815 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663355 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639154 57 17060 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 72000	sensor4 : 55000
65	0.204596	2018-11-19 23:48:8	1542633488698	0.91	1.215	0.03094	5.539185	1.2175	0.275042	0.99875	0.111776	1016103555	27691533	970829	208097134	3140531	187056738	4465859	342397	33776176	654537	121582324	2928887	252763	20496568	402198	158572475	3849507	327231	28434334	579820	2588158813	455665254	484287227	619060053	346899579	1278133765	2588161444	2566612798	171774527	273965016	2611034192	2920919744	1077527671	2566613995	2562611365	130965176	596569813	2115308434	703595061	419263765	2562612157	2666089757	250576516	259900030	2827010872	3456672114	2116614336	2666090491	cpu  2840408 102 457487 8121135 6050 47 4243 0 0 0	cpu0 45823 0 86885 1266871 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118955 1237144 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240824 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91219 1270545 1564 2 0 0 0 00 0 0 0 0	cpu4 663212 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644835 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663376 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639175 57 17060 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 65000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
66	0.222755	2018-11-19 23:48:8	1542633488921	0.91	1.21375	0.0364	5.530067	1.2175	0.270174	0.99875	0.111776	1049824696	28554678	999831	215398426	3246248	193179475	4521481	348466	35361379	664402	123397479	2974178	256131	20820987	407444	159422528	3871076	328149	28591556	582535	2988842368	465527496	494903857	718914643	637232618	1845145033	2988844962	2967319935	175277345	279536434	2663768545	3067068930	1360214568	2967321712	2963329250	133455479	608128624	2159391167	808266158	697942101	2963329957	3066817555	255687340	265265628	2886197344	3620546101	2433507543	3066818269	cpu  2840502 102 457498 8121203 6050 47 4243 0 0 0	cpu0 45829 0 86896 1266876 214 30 4237 0 0 0 0 0 0	cpu1 62701 0 118956 1237163 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240846 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91219 1270567 1564 2 0 0 0 00 0 0 0 0	cpu4 663234 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644857 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663398 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639197 57 17060 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 68000	sensor1 : 65000	sensor2 : 73000	sensor3 : 73000	sensor4 : 55000
67	0.204417	2018-11-19 23:48:9	1542633489125	0.91	1.21375	0.03458	5.557966	1.2175	0.271391	0.99875	0.111776	1053208378	28641903	1005203	216029502	3256948	194715880	4543190	349548	35676087	667371	124186861	2995937	257529	20959811	410456	159834023	3882010	328754	28664642	583927	3356909093	474616626	504700361	810923901	904867758	2367882639	3356911765	3335368663	178533928	284660692	2712533761	3202292400	1621788082	3335369392	3331373909	136204536	619735874	2196182459	895218833	929065057	3331374632	3434853694	260244142	270125686	2938962542	3766538567	2715811228	3434854814	cpu  2840584 102 457499 8121283 6050 47 4243 0 0 0	cpu0 45829 0 86896 1266896 214 30 4237 0 0 0 0 0 0	cpu1 62702 0 118956 1237183 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240866 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91219 1270587 1564 2 0 0 0 00 0 0 0 0	cpu4 663255 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644878 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663418 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639217 57 17060 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 72000	sensor3 : 72000	sensor4 : 55000
68	0.204404	2018-11-19 23:48:9	1542633489329	0.91125	1.21375	0.022775	5.544623	1.2175	0.268957	0.99875	0.111776	1065040498	28856884	1023768	218639831	3287766	196153967	4576153	351376	35920637	671166	124964914	3013801	258411	21076112	412651	165683413	3982327	342837	29993152	603418	3724926166	483742076	514548012	903347671	1173629698	2892788413	3724928959	3703388133	181737224	289786394	2760988629	3336635921	1881645488	3703389418	3699385317	138408397	630349183	2237292537	992896100	1189154012	3699386043	3802858151	264791814	274981656	2991637637	3912211441	2997481485	3802858876	cpu  2840666 102 457506 8121356 6050 47 4243 0 0 0	cpu0 45830 0 86900 1266911 214 30 4237 0 0 0 0 0 0	cpu1 62702 0 118956 1237203 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240886 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91222 1270605 1564 2 0 0 0 00 0 0 0 0	cpu4 663275 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644898 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663439 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639237 57 17061 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 73000	sensor4 : 55000
69	0.2043	2018-11-19 23:48:9	1542633489534	0.91125	1.21375	0.022775	5.544623	1.2175	0.268957	0.99875	0.111776	1065580416	28871748	1025687	218726988	3289970	196482233	4584487	351611	35979153	672165	125424034	3026404	258814	21157737	414276	166033500	3991339	343082	30058092	604347	4092898591	492862656	524387515	995733405	1442362784	3417657149	4092901390	4071348995	184982709	294906994	2809749303	3471895410	2143282762	4071349707	4067349646	140992159	641262871	2276004057	1084631046	1433194324	4067350352	4170831020	269336145	279836338	3044244247	4057753098	3278900149	4170831769	cpu  2840748 102 457507 8121437 6050 47 4243 0 0 0	cpu0 45830 0 86900 1266931 214 30 4237 0 0 0 0 0 0	cpu1 62702 0 118956 1237223 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240907 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91222 1270625 1564 2 0 0 0 00 0 0 0 0	cpu4 663296 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644919 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663459 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639257 57 17061 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 73000	sensor4 : 55000
70	0.204574	2018-11-19 23:48:9	1542633489738	0.91	1.21375	0.02457	5.574948	1.2175	0.271391	0.99875	0.111776	1067775270	28928704	1026798	219160192	3296173	197318920	4605580	352008	36136092	674772	125972445	3041328	259086	21257792	416256	166553731	4004880	343503	30156023	605820	165987926	501987335	534235376	1088150052	1711200447	3942733435	165990799	144442080	188191481	300041118	2858274187	3606472727	2403607553	144443018	140441417	143361196	652585578	2315260507	1177696802	1680817806	140442177	243916371	273878845	284692894	3096867945	4203330849	3560398429	243917164	cpu  2840830 102 457507 8121517 6050 47 4243 0 0 0	cpu0 45830 0 86900 1266951 214 30 4237 0 0 0 0 0 0	cpu1 62702 0 118957 1237243 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240927 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91222 1270645 1564 2 0 0 0 00 0 0 0 0	cpu4 663316 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644939 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663480 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639277 57 17061 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 73000	sensor4 : 55000
71	0.204509	2018-11-19 23:48:9	1542633489943	0.91125	1.21375	0.020953	5.539771	1.2175	0.270174	0.99875	0.111776	1071080933	29017319	1029688	219793818	3306504	198207432	4627311	352188	36307473	677265	126625154	3058809	259403	21379855	418506	166767917	4010377	343626	30194085	606514	534240859	511093298	544079358	1180353391	1979305163	171394144	534243694	512692532	191428275	305161027	2906932413	3741422492	2664654464	512693835	508696386	145834043	663242803	2354804328	1271552773	1930640619	508697113	612174420	278418888	289539060	3149349579	53497966	3841031786	612175520	cpu  2840912 102 457509 8121597 6050 47 4243 0 0 0	cpu0 45830 0 86902 1266970 214 30 4237 0 0 0 0 0 0	cpu1 62702 0 118957 1237263 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117077 1240947 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91222 1270666 1564 2 0 0 0 00 0 0 0 0	cpu4 663337 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644960 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663500 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639298 57 17061 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 73000	sensor4 : 55000
72	0.204378	2018-11-19 23:48:10	1542633490147	0.91125	1.21375	0.020953	5.560392	1.2175	0.26774	0.99875	0.111776	1073481487	29079634	1030900	220267423	3313439	199562513	4662945	353857	36554211	681566	127276021	3075481	259845	21501347	420729	167332257	4025946	344220	30295393	608591	901889197	520185957	553898161	1272435460	2247132676	694505102	901891679	880349548	194651362	310291002	2955503957	3876183843	2925338360	880350512	876354113	148314517	674793287	2393116228	1362268816	2171911853	876354912	979828493	282955790	294385316	3201851798	198752255	4121902097	979829214	cpu  2840994 102 457510 8121677 6050 47 4243 0 0 0	cpu0 45830 0 86902 1266989 214 30 4237 0 0 0 0 0 0	cpu1 62702 0 118957 1237283 1295 6 0 0 0 0 0 0 0 0	cpu2 62146 0 117078 1240967 1325 9 0 0 0 0 0 0 0 0	cpu3 59138 0 91222 1270686 1564 2 0 0 0 00 0 0 0 0	cpu4 663357 32 9023 768042 410 0 3 0 0 000 0 0 0 0	cpu5 644980 3 7275 788348 488 0 0 0 0 0000 0 0 0 0	cpu6 663521 10 9991 766681 374 0 0 0 0 000 0 0 0 0	cpu7 639318 57 17062 782678 379 0 1 0 0 00 0 0 0 0	sensor0 : 69000	sensor1 : 64000	sensor2 : 73000	sensor3 : 73000	sensor4 : 55000
